State,Crop,Rainfall,Temperature,Humidity,Soil_Type,Fertilizer_Type,Yield
Manipur,Cotton,325.86,39.83,76.4,Mountain,MOP,83.2
Gujarat,Barley,1126.01,31.04,52.37,Black,Organic,142.09
Tripura,Barley,780.4,34.97,68.01,Desert,Urea,124.52
Goa,Bajra,860.67,40,56.28,Desert,MOP,116.09
Gujarat,Rice,707.46,31.18,56.58,Laterite,Urea,114.74
Nagaland,Jowar,765.87,22.47,76.91,Desert,DAP,108.17
Uttar Pradesh,Bajra,467.94,20.15,84.87,Alluvial,Organic,92.81
Delhi,Wheat,211,22.48,77.32,Red,Organic,86.47
Jharkhand,Pulses,1151.55,36.1,68.74,Desert,DAP,128.37
Tamil Nadu,Maize,927.43,21.74,56.26,Red,MOP,125.03
Uttarakhand,Bajra,610.02,37.5,53.34,Black,Compost,100.15
Bihar,Cotton,465.18,30.24,41.49,Red,MOP,102.46
Arunachal Pradesh,Barley,1014.26,35.49,76.84,Black,Urea,129.55
Uttar Pradesh,Pulses,596.59,25.22,49.42,Desert,Urea,112.24
West Bengal,Maize,1173.68,20.24,74.2,Black,Compost,124.06
Maharashtra,Cotton,432.08,26.62,81.72,Laterite,Organic,102.15
Karnataka,Rice,752.1,21.26,87.63,Desert,Urea,108.75
Haryana,Maize,229.28,29.56,78.78,Alluvial,DAP,103.28
Odisha,Pulses,815.29,33.46,79.16,Desert,Urea,119.94
Punjab,Bajra,838,29.97,43.57,Alluvial,Compost,122.33
Haryana,Sugarcane,682.62,27.64,69.95,Black,MOP,126.08
Jammu & Kashmir,Pulses,348.09,29.37,87.6,Laterite,MOP,100.55
Karnataka,Cotton,729.57,24.86,86.58,Black,Urea,114.1
Telangana,Bajra,473.33,30.21,75.88,Black,Compost,107.83
Bihar,Maize,646.21,30.81,59.39,Black,MOP,123.05
Assam,Maize,825.12,38.93,66.26,Mountain,MOP,117.39
Telangana,Maize,494.01,30.45,50.19,Red,Compost,117.6
Maharashtra,Sugarcane,1006.62,35.62,54.82,Red,Compost,133.34
